month,temperature
1,21 F
1,21 F
1,23 F
1,17 F
1,21 F
1,24 F
1,26 F
1,21 F
1,17 F
1,14 F
1,15 F
1,15 F
1,19 F
1,23 F
1,23 F
1,23 F
1,19 F
1,21 F
1,24 F
1,21 F
1,23 F
1,15 F
1,10 F
1,12 F
1,15 F
1,14 F
1,15 F
1,17 F
1,17 F
1,19 F
1,17 F
2,19 F
2,14 F
2,15 F
2,17 F
2,14 F
2,19 F
2,15 F
2,19 F
2,15 F
2,14 F
2,15 F
2,19 F
2,26 F
2,21 F
2,23 F
2,23 F
2,24 F
2,26 F
2,26 F
2,23 F
2,24 F
2,26 F
2,28 F
2,21 F
2,24 F
2,30 F
2,32 F
2,28 F
3,26 F
3,30 F
3,35 F
3,30 F
3,26 F
3,26 F
3,28 F
3,24 F
3,28 F
3,28 F
3,32 F
3,39 F
3,41 F
3,42 F
3,32 F
3,30 F
3,32 F
3,35 F
3,35 F
3,28 F
3,33 F
3,39 F
3,42 F
3,41 F
3,44 F
3,44 F
3,51 F
3,50 F
3,44 F
3,46 F
3,48 F
